model,region,year,area,lai,tas,pr,gpp,pct_growth_gpp
MIROC-ES2L,Afghanistan,2015,641668456448.0,142366749988.08984,15.651615258832374,0.2405343118694314,0.41418483130729766,
MIROC-ES2L,Afghanistan,2016,641668456448.0,143529568163.4893,15.40095556199488,0.09667703108160891,0.3494547852478078,-0.1699381431435898
MIROC-ES2L,Afghanistan,2017,641668456448.0,146735140981.84875,16.246833957609557,0.25422808632793775,0.34265826953393297,-0.019640531689001817
MIROC-ES2L,Afghanistan,2018,641668456448.0,144070077894.55707,16.34994524487374,0.08281141350996322,0.30497845186359496,-0.11649252731152204
MIROC-ES2L,Afghanistan,2019,641668456448.0,124621165977.61487,15.581847712312854,0.2535907873489731,0.3264733615125769,0.06810723288734088
MIROC-ES2L,Afghanistan,2020,641668456448.0,125099923428.46222,15.375981719220688,0.004041456506525611,0.19765418579382651,-0.5018293900445636
MIROC-ES2L,Afghanistan,2021,641668456448.0,117592627156.8646,16.120192023025243,-0.10254716300560796,0.1922084960337524,-0.027938267637785508
MIROC-ES2L,Afghanistan,2022,641668456448.0,117073579102.52533,14.966428226266546,0.4137162585286157,0.355087242680102,0.6137828136222541
MIROC-ES2L,Afghanistan,2023,641668456448.0,126672510769.30649,15.147043915823092,0.380892621402781,0.3474950280665487,-0.021613156130969147
MIROC-ES2L,Afghanistan,2024,641668456448.0,125941146615.22691,15.015795443133802,0.5719815924904299,0.44034360937294437,0.23680499535755228
MIROC-ES2L,Afghanistan,2025,641668456448.0,129672476792.90393,15.87823356903958,0.1144489444134865,0.36269313306243184,-0.19399823925860293
MIROC-ES2L,Afghanistan,2026,641668456448.0,133933994995.12425,15.41131260955542,0.30439273921846965,0.3134227034424946,-0.14600434359925707
MIROC-ES2L,Afghanistan,2027,641668456448.0,131634725733.9932,15.466928651379567,0.43000037080405906,0.3786100621623794,0.18895404603304988
MIROC-ES2L,Afghanistan,2028,641668456448.0,150221363534.5943,14.841447389907573,0.7589551010094362,0.5462328765241943,0.3665385828812623
MIROC-ES2L,Afghanistan,2029,641668456448.0,159188147382.5459,15.173624170508463,0.5142117743210289,0.469069315033569,-0.1522948478198516
MIROC-ES2L,Afghanistan,2030,641668456448.0,168711848328.46768,15.418993724295646,0.28486513614310066,0.39033140152528895,-0.18375442498105998
MIROC-ES2L,Afghanistan,2031,641668456448.0,164547477466.0177,15.223177888345482,0.44281985497750254,0.4090838677401669,0.04692406482778477
MIROC-ES2L,Afghanistan,2032,641668456448.0,168087954981.52582,15.52326558378118,0.48611469253727296,0.41089368875669696,0.0044143255899578016
MIROC-ES2L,Afghanistan,2033,641668456448.0,165008770547.9922,16.367507138301235,-0.11809530080120352,0.30610711123967543,-0.29439943877638164
MIROC-ES2L,Afghanistan,2034,641668456448.0,170722034865.83002,15.925744398028568,0.3460068960240838,0.43694738749922607,0.3558777156741666
MIROC-ES2L,Afghanistan,2035,641668456448.0,156946890349.696,15.520794858858757,0.3027439070621389,0.3614658154346052,-0.18964531909462767
MIROC-ES2L,Afghanistan,2036,641668456448.0,159519656564.44022,16.207314780747726,0.2360828867708622,0.3440474494231839,-0.04938789178327263
MIROC-ES2L,Afghanistan,2037,641668456448.0,152806996731.96503,14.927121597932477,0.5570233440922095,0.37703459529067457,0.09155736570358963
MIROC-ES2L,Afghanistan,2038,641668456448.0,165379934920.7799,17.068677058888152,0.2300018422681061,0.35702183501239815,-0.05454000552563365
MIROC-ES2L,Afghanistan,2039,641668456448.0,155109298254.2221,16.23388786690741,0.2129023427942889,0.3647293050867731,0.021358506130736643
MIROC-ES2L,Afghanistan,2040,641668456448.0,147198180123.38654,15.914937606498425,0.2385491066875678,0.24766260134613943,-0.38708810710876995
MIROC-ES2L,Afghanistan,2041,641668456448.0,151555717057.87433,16.71346938932547,0.31043447316028755,0.42216548063411946,0.5333300299445917
MIROC-ES2L,Afghanistan,2042,641668456448.0,152652038935.36496,15.17945837664746,0.4483293771729918,0.4558716841071104,0.07681400403801075
MIROC-ES2L,Afghanistan,2043,641668456448.0,149464139286.8566,15.41991359393266,0.3344344650770929,0.4056329729066674,-0.11676263229220207
MIROC-ES2L,Afghanistan,2044,641668456448.0,203677848036.90176,14.967369330020443,0.26246477095572823,0.4000208444788977,-0.013932086173886526
MIROC-ES2L,Afghanistan,2045,641668456448.0,148150979250.79974,15.183514623968213,0.5074559913142567,0.3776774318370254,-0.05747618057099302
MIROC-ES2L,Afghanistan,2046,641668456448.0,162367375746.5722,16.07169059274926,0.29285016899824534,0.4037638552573868,0.06678971399854339
MIROC-ES2L,Afghanistan,2047,641668456448.0,162719408898.72366,16.46544524276769,0.27641560293144346,0.3278396151413255,-0.20830567980739711
MIROC-ES2L,Afghanistan,2048,641668456448.0,202444411063.0013,15.256596535299458,0.291677462406714,0.4182793526838519,0.24362500659497477
MIROC-ES2L,Afghanistan,2049,641668456448.0,162518724668.41675,15.402804218563118,0.45760527468946355,0.44136995262571466,0.053733901451510246
MIROC-ES2L,Afghanistan,2050,641668456448.0,166682911260.8416,16.206905121741126,0.34238081731642966,0.4555634772139118,0.0316516455970175
MIROC-ES2L,Afghanistan,2051,641668456448.0,158321756155.36594,16.093484817454122,0.2821281111540551,0.44976099467708397,-0.012818745482338967
MIROC-ES2L,Afghanistan,2052,641668456448.0,180850383858.88812,16.107777379706675,0.11681069662775885,0.41750261053750126,-0.07442552167300598
MIROC-ES2L,Afghanistan,2053,641668456448.0,136755094262.94785,16.704693931278364,-0.015217646725186697,0.23101371426911235,-0.5918137191659227
MIROC-ES2L,Afghanistan,2054,641668456448.0,167403332078.81598,15.600803057832756,0.44372857865227155,0.40691179535334593,0.5661193650322107
MIROC-ES2L,Afghanistan,2055,641668456448.0,163784863342.4123,15.60660524156671,0.31667218765238775,0.39817288582051213,-0.021710145472442988
MIROC-ES2L,Afghanistan,2056,641668456448.0,189197066846.12848,16.018888848401712,0.3831813433390694,0.36877012579099666,-0.07671281286869658
MIROC-ES2L,Afghanistan,2057,641668456448.0,170592603593.5033,16.773182489383288,0.3912817150598327,0.5152125074475551,0.3344059667925394
MIROC-ES2L,Afghanistan,2058,641668456448.0,163332275256.92963,16.216618595839694,0.1002681625997268,0.41609088826716517,-0.21367573356435343
MIROC-ES2L,Afghanistan,2059,641668456448.0,164017815674.7605,16.09163581617293,0.08768929087856872,0.3781671333139396,-0.09556746828558937
MIROC-ES2L,Afghanistan,2060,641668456448.0,167687518251.16718,16.102278400207563,0.2561745012621887,0.3618192178828779,-0.044191560552136466
MIROC-ES2L,Afghanistan,2061,641668456448.0,170235104802.50668,17.346649642557058,0.16038146614704965,0.3702294877848762,0.022978361655657698
MIROC-ES2L,Afghanistan,2062,641668456448.0,161805449915.11993,16.025355995914087,0.2969114528685213,0.4875578152837159,0.2752858282327312
MIROC-ES2L,Afghanistan,2063,641668456448.0,182759441490.9231,17.024796686860316,0.03489982978114817,0.4102137318150442,-0.1727305578797116
MIROC-ES2L,Afghanistan,2064,641668456448.0,151544066473.72528,16.27170264833677,0.05380246832922255,0.1875718388071401,-0.782516408644373
MIROC-ES2L,Afghanistan,2065,641668456448.0,156237772881.65063,16.842356300100345,-0.1419636210121117,0.3520035986506943,0.6294794866496018
MIROC-ES2L,Afghanistan,2066,641668456448.0,144632142265.25018,16.602989837639957,0.3560186055869751,0.3453744357936609,-0.01901224934809953
MIROC-ES2L,Afghanistan,2067,641668456448.0,173013353303.755,16.842234625554617,0.19616422321991758,0.38848080896134113,0.11761462116747479
MIROC-ES2L,Afghanistan,2068,641668456448.0,161654627718.52972,15.878194200382701,0.24931460885075238,0.5585321313328107,0.3630683775319009
MIROC-ES2L,Afghanistan,2069,641668456448.0,167887503463.9672,16.449046533880633,0.09792785965756484,0.38864371499835193,-0.36264912415776474
MIROC-ES2L,Afghanistan,2070,641668456448.0,155925369176.0064,16.17382733816702,0.4843294167987395,0.42672461961980873,0.09347586207697445
MIROC-ES2L,Afghanistan,2071,641668456448.0,166470993354.75708,15.557311300612227,0.28715636045148574,0.5001737321340467,0.15881661608275965
MIROC-ES2L,Afghanistan,2072,641668456448.0,172596296579.79547,16.388237424150084,-0.06681409404904129,0.4203444433711452,-0.1738810238974472
MIROC-ES2L,Afghanistan,2073,641668456448.0,155198277757.70822,16.422148114296245,-0.3838658938895925,0.1918949075427416,-0.7841266128158284
MIROC-ES2L,Afghanistan,2074,641668456448.0,164951821238.31216,16.121770551369202,0.10870694854025552,0.33576320687871575,0.5594583044585528
MIROC-ES2L,Afghanistan,2075,641668456448.0,197600737042.40942,16.277936973116937,0.1424187633296523,0.43545339724179416,0.25998161070502934
MIROC-ES2L,Afghanistan,2076,641668456448.0,131266139213.17238,15.987838623010557,0.3908700373044183,0.33001917255839086,-0.277237029354208
MIROC-ES2L,Afghanistan,2077,641668456448.0,154038831472.78595,15.955532031537679,0.1658063773311898,0.406723388037195,0.2089825666782651
MIROC-ES2L,Afghanistan,2078,641668456448.0,145051630599.58524,17.11299853132116,0.10895773882846352,0.2548074061593392,-0.4676253282779196
MIROC-ES2L,Afghanistan,2079,641668456448.0,155594320564.52704,16.299218441894173,0.008041144194007118,0.4264574864403151,0.5150046920352953
MIROC-ES2L,Afghanistan,2080,641668456448.0,147820608043.93347,16.3669673256646,0.3864870903310617,0.35296841703839227,-0.18913409908588852
MIROC-ES2L,Afghanistan,2081,641668456448.0,150846033834.57666,15.917923614681076,0.30425459894201484,0.48547511807090327,0.3187494535222162
MIROC-ES2L,Afghanistan,2082,641668456448.0,166589813046.3343,17.029738673482658,0.25257921477760875,0.4632277162794169,-0.04690927531073252
MIROC-ES2L,Afghanistan,2083,641668456448.0,160243747223.8265,15.795130683373545,0.29593239031793317,0.5389539964389186,0.15141145643557186
MIROC-ES2L,Afghanistan,2084,641668456448.0,160055881747.24353,16.162164456517576,0.05389833710259971,0.4464042693223815,-0.1884052425158712
MIROC-ES2L,Afghanistan,2085,641668456448.0,177381409897.97824,16.122591328156805,0.06063893862263816,0.39197230922289705,-0.1300337773577399
MIROC-ES2L,Afghanistan,2086,641668456448.0,168667026308.57858,15.984302788780104,0.24893947638346942,0.33581243193918264,-0.15463843174388792
MIROC-ES2L,Afghanistan,2087,641668456448.0,182074521289.94684,17.36937264632121,0.1304766679771513,0.515436664202926,0.42846166724886925
MIROC-ES2L,Afghanistan,2088,641668456448.0,168782372631.41058,16.750718314425395,0.046980018992576145,0.3323392571108951,-0.43885812712085714
MIROC-ES2L,Afghanistan,2089,641668456448.0,166270811350.37527,17.255336952824898,0.07236510937407506,0.3152354418707367,-0.0528365117961318
MIROC-ES2L,Afghanistan,2090,641668456448.0,159733584751.2753,16.92354646090015,-0.050406059958501906,0.3327096976824511,0.053950536883149436
MIROC-ES2L,Afghanistan,2091,641668456448.0,150023949922.54987,17.24685845528832,0.2562047828776071,0.355910039190798,0.0674076689870371
MIROC-ES2L,Afghanistan,2092,641668456448.0,171421004097.9677,16.650099522549485,0.4783729993346917,0.6027228487446705,0.5267794703976011
MIROC-ES2L,Afghanistan,2093,641668456448.0,168982643178.02386,18.089746599508764,-0.2216080806394692,0.4076206155001499,-0.3911205925713803
MIROC-ES2L,Afghanistan,2094,641668456448.0,170987695334.08237,16.356720669662774,0.3359360969677451,0.4423245210951917,0.08170694545729029
MIROC-ES2L,Afghanistan,2095,641668456448.0,158350717864.57385,16.75141824325736,-0.2904726597144119,0.18458760950186398,-0.8739196242751267
MIROC-ES2L,Afghanistan,2096,641668456448.0,142126357840.79074,16.875624237975718,0.12865411933920207,0.24596662043087453,0.2870716383959335
MIROC-ES2L,Afghanistan,2097,641668456448.0,143485824587.08908,16.69919340172394,0.22145045995214743,0.40537469279704197,0.4996159693827136
MIROC-ES2L,Afghanistan,2098,641668456448.0,153784508644.67236,17.20937700214356,0.3210445376159174,0.5104153416085028,0.23041298278617506
MIROC-ES2L,Afghanistan,2099,641668456448.0,168546381019.57672,17.00157366095023,-0.0642954069137209,0.4688776813820896,-0.08488286244674803
MIROC-ES2L,Afghanistan,2100,641668456448.0,159083851416.73065,16.274493306449834,-0.17532975791871447,0.23751453633121503,-0.6801130999356635
MIROC-ES2L,Albania,2015,73806921728.0,101969197614.48846,16.1198534821811,1.2280347988721274,4.205991719011496,
MIROC-ES2L,Albania,2016,73806921728.0,161428309938.63455,16.785104453498548,0.8195229911496187,4.985593707473868,0.17004238668596572
MIROC-ES2L,Albania,2017,73806921728.0,140949722177.87997,15.957708489404979,0.984934383350982,4.467906206475241,-0.10963260641060324
MIROC-ES2L,Albania,2018,73806921728.0,136280667360.28464,17.072473228141064,1.0676632527112453,4.4538470136034265,-0.00315166854821447
MIROC-ES2L,Albania,2019,73806921728.0,142566378536.59583,16.212944804152414,1.2294286518916817,4.893891766309989,0.09421962903301573
MIROC-ES2L,Albania,2020,73806921728.0,162829587899.9393,16.866367761163758,1.0591737557767669,5.163696014409146,0.053664755760839844
MIROC-ES2L,Albania,2021,73806921728.0,158460677255.7458,16.009354933647273,1.205161772862424,5.0290824820586435,-0.026415046608680548
MIROC-ES2L,Albania,2022,73806921728.0,163090630687.61807,16.296165738040486,0.9133147568443198,5.116079989575499,0.01715096043370834
MIROC-ES2L,Albania,2023,73806921728.0,142816799088.09485,15.61244063703981,1.2464405294001917,4.695998398811093,-0.08567777721625602
MIROC-ES2L,Albania,2024,73806921728.0,140858570591.4681,17.202677642321987,1.2062402720216376,4.619343632065304,-0.01645811753798654
MIROC-ES2L,Albania,2025,73806921728.0,137655316041.83618,15.998295948603413,1.0608089707194417,4.559868533916043,-0.012958831189949116
MIROC-ES2L,Albania,2026,73806921728.0,144553776928.77332,16.340535621120523,0.8930638885782137,4.572796612828101,0.0028311752023757464
MIROC-ES2L,Albania,2027,73806921728.0,118891266603.3845,17.17563953138381,1.0106103792502308,4.310873381892655,-0.05898444363435873
MIROC-ES2L,Albania,2028,73806921728.0,142873777676.11884,16.863735244834402,0.9754875485782742,4.6939912397145935,0.08514270675696056
MIROC-ES2L,Albania,2029,73806921728.0,153692730777.34506,17.189995501792623,1.1696493957051755,5.022109123129443,0.06756675836342785
MIROC-ES2L,Albania,2030,73806921728.0,114775347951.19682,16.226282741598936,0.8489473658932232,3.958016950226833,-0.23810685982312418
MIROC-ES2L,Albania,2031,73806921728.0,148168143610.49423,16.30620802787888,1.146957016329083,4.902858887291083,0.21407535166944247
MIROC-ES2L,Albania,2032,73806921728.0,149192037574.4604,16.679966227213583,1.0573402192673156,4.497226684376944,-0.08635756693445229
MIROC-ES2L,Albania,2033,73806921728.0,155402019773.47046,17.804001899614775,0.928754123729743,4.798682229468092,0.06488043026519175
MIROC-ES2L,Albania,2034,73806921728.0,163744703252.05728,17.37570892752035,0.8293851638390402,5.10201589343466,0.0612943901582943
MIROC-ES2L,Albania,2035,73806921728.0,141615241851.3849,16.85856239632386,1.080388779285451,4.738009965691764,-0.07401852576439238
MIROC-ES2L,Albania,2036,73806921728.0,185314131241.41006,16.09369361752374,1.0655470692285023,5.163715656375887,0.08603919971063134
MIROC-ES2L,Albania,2037,73806921728.0,124718644997.1315,17.308645671687714,1.0001455796005738,4.754408188867815,-0.08258418135358347
MIROC-ES2L,Albania,2038,73806921728.0,130311906883.9339,16.555498264260507,1.1007150375652655,4.741073524908484,-0.002808635333536369
MIROC-ES2L,Albania,2039,73806921728.0,138974586603.39764,17.385432664008988,0.9357902173915342,4.705111355644075,-0.007614151842704864
MIROC-ES2L,Albania,2040,73806921728.0,163801568195.2838,16.04511371883541,1.2217756419687216,5.4095947419399675,0.13952474071487164
MIROC-ES2L,Albania,2041,73806921728.0,141184516384.39395,16.860722957245287,1.0675003537242553,4.733710983883419,-0.13346472290025968
MIROC-ES2L,Albania,2042,73806921728.0,140507295736.5651,16.8965711619756,1.205293819392533,4.640781142909901,-0.019826756249910815
MIROC-ES2L,Albania,2043,73806921728.0,157888150267.68552,16.564899016079835,1.1126220105934648,5.100535845192888,0.09446290006193991
MIROC-ES2L,Albania,2044,73806921728.0,144171004033.42554,17.588923036335643,0.8676568635276702,4.375022708546514,-0.15343389157491272
MIROC-ES2L,Albania,2045,73806921728.0,153625830568.8217,16.658281467385507,1.109672589892799,4.8398944156052455,0.10098119521197213
MIROC-ES2L,Albania,2046,73806921728.0,142233775754.99362,16.899995735900063,1.1710236930981508,4.774158569004646,-0.0136751630434091
MIROC-ES2L,Albania,2047,73806921728.0,159036575813.25977,16.56872215793561,1.0096984622858103,5.077480691719972,0.06159746926164522
MIROC-ES2L,Albania,2048,73806921728.0,132002388351.10689,17.406306098979712,1.052353833901244,4.516309031882362,-0.11712013736168037
MIROC-ES2L,Albania,2049,73806921728.0,164456160393.07895,17.74368227605953,1.136833999669413,5.271968190325654,0.15470868909094349
MIROC-ES2L,Albania,2050,73806921728.0,109836256523.87291,16.992882381073457,0.9450283006484956,3.7759301958685065,-0.3337570016317519
MIROC-ES2L,Albania,2051,73806921728.0,125361112167.79103,17.002897414116035,1.0477628345191778,4.509127281769202,0.17745686557262852
MIROC-ES2L,Albania,2052,73806921728.0,137409020883.50157,16.56120573783835,1.2526412617159184,4.9497119239491125,0.09322575028370705
MIROC-ES2L,Albania,2053,73806921728.0,152992144933.31577,17.525390457780418,0.9503899611359525,4.911066671656674,-0.007838214756277662
